X Y Z
-486993.54 -1117514.49 247.77
-486991.19 -1117496.36 247.79
-486996.15 -1117534.88 247.77
-486958.87 -1117248.19 238.12
-487033.92 -1117825.66 254.78
-486993.63 -1117515.67 247.82
-486986.34 -1117459.82 246.18
-486996.90 -1117541.12 247.73
-487003.15 -1117589.42 250.07
-486962.84 -1117279.36 240.97
-486991.35 -1117498.69 247.84
-487052.49 -1117938.86 255.31
-486989.75 -1117456.33 246.28
-486979.59 -1117378.24 243.37
-486994.31 -1117491.59 247.81
-486997.42 -1117515.75 247.70
-487025.79 -1117734.23 253.71
-486966.22 -1117275.95 240.93
-486999.61 -1117532.92 247.94
-487049.44 -1117916.28 255.43
-487015.12 -1117652.44 251.68
-486989.93 -1117458.66 246.21
-487004.16 -1117568.43 249.81
-486997.46 -1117516.92 247.76
-486999.68 -1117534.07 247.90
-486969.28 -1117300.23 240.88
-487032.97 -1117790.27 254.67
-486977.52 -1117363.80 243.01
-486985.34 -1117424.03 244.98
-487006.97 -1117590.48 250.28
-487042.20 -1117861.53 255.31
-486966.40 -1117278.36 240.97
-487016.24 -1117661.83 251.81
-486997.54 -1117518.06 247.81
-486978.60 -1117372.41 243.24
-486976.09 -1117353.36 242.53
-487011.36 -1117624.74 251.20
-486991.83 -1117474.72 247.80
-487049.70 -1117919.88 255.42
-487001.60 -1117550.05 249.58
-486988.08 -1117446.16 245.76
-486990.15 -1117462.16 246.32
-486997.70 -1117520.38 247.84
-487036.89 -1117821.92 254.93
-486978.77 -1117374.78 243.27
-487004.39 -1117571.89 249.79
-487029.42 -1117764.62 254.20
-486999.86 -1117537.25 247.46
-487020.41 -1117695.36 252.74
-486962.72 -1117251.67 240.35
-487025.04 -1117731.30 253.51
-487000.66 -1117543.73 249.38
-486991.98 -1117477.07 247.76
-487051.33 -1117933.76 255.28
-486997.88 -1117522.68 247.67
-486990.31 -1117464.50 246.41
-487024.80 -1117729.97 253.59
-486998.14 -1117524.95 247.46
-486994.84 -1117499.70 248.02
-487015.53 -1117658.85 251.74
-486962.44 -1117250.48 240.11
-486966.85 -1117284.44 240.89
-487057.73 -1117983.71 254.83
-486963.99 -1117262.63 240.85
-486990.43 -1117466.03 246.60
-486986.67 -1117437.24 245.46
-486998.22 -1117526.12 247.51
-486999.47 -1117536.10 246.95
-486965.42 -1117274.13 240.85
-486961.17 -1117241.50 237.61
-486997.31 -1117519.95 247.86
-487020.94 -1117701.91 253.00
-486995.10 -1117503.17 247.95
-487000.00 -1117541.03 248.81
-486995.51 -1117506.55 247.37
-487027.15 -1117750.14 253.96
-487024.31 -1117728.32 253.68
-487007.57 -1117599.67 250.47
-487050.50 -1117929.99 255.32
-487028.47 -1117760.50 254.14
-486961.13 -1117242.60 237.81
-486988.48 -1117453.23 246.13
-487029.43 -1117768.34 254.28
-487025.19 -1117735.97 253.75
-486974.00 -1117342.27 241.81
-487012.05 -1117635.06 251.46
-486992.55 -1117485.20 247.87
-487017.57 -1117677.73 252.26
-486995.60 -1117508.89 247.50
-486961.15 -1117243.92 238.22
-487000.06 -1117543.39 249.28
-487007.81 -1117603.10 250.51
-486990.56 -1117470.39 247.18
-486988.63 -1117455.58 246.23
-486998.55 -1117531.90 247.81
-486964.47 -1117269.98 240.93
-486962.39 -1117254.13 240.40
-487049.91 -1117927.42 255.30
-486999.07 -1117536.46 246.97
-486996.39 -1117515.85 247.68
-486995.63 -1117510.09 247.72
-486998.90 -1117535.33 247.44
-486998.60 -1117533.09 247.97
-487010.08 -1117621.41 251.02
-486989.19 -1117460.78 246.21
-486995.72 -1117511.22 247.82
-487021.54 -1117709.89 253.30
-487007.96 -1117605.40 250.62
-487000.18 -1117545.70 249.43
-486995.82 -1117512.41 247.82
-486988.88 -1117459.03 246.21
-487015.17 -1117661.39 251.75
-486999.24 -1117538.89 247.93
-487019.93 -1117698.21 252.87
-487011.23 -1117631.27 251.32
-486998.62 -1117534.26 248.09
-486993.68 -1117496.21 247.90
-486999.04 -1117537.66 247.47
-487035.07 -1117814.98 254.87
-486964.84 -1117274.82 240.87
-486962.64 -1117257.87 240.56
-486990.57 -1117472.79 247.76
-487008.09 -1117607.71 250.71
-486970.61 -1117319.57 241.11
-487015.31 -1117663.68 251.84
-487000.42 -1117549.17 249.49
-487012.09 -1117639.21 251.55
-487039.43 -1117849.62 255.10
-487052.24 -1117948.30 255.34
-487008.27 -1117609.99 250.72
-487018.09 -1117685.72 252.33
-486990.87 -1117476.28 247.72
-487022.57 -1117720.16 253.54
-486986.40 -1117441.91 245.53
-486967.97 -1117300.15 240.87
-486989.20 -1117463.71 246.28
-486960.73 -1117244.93 238.22
-486999.09 -1117540.00 248.06
-486977.30 -1117372.51 243.20
-487051.36 -1117942.58 255.29
-486989.61 -1117467.62 246.52
-487047.17 -1117910.52 255.36
-487011.69 -1117637.66 251.45
-487000.64 -1117552.61 249.61
-486982.46 -1117413.20 244.58
-486962.91 -1117262.84 240.75
-486970.91 -1117324.43 241.24
-487012.83 -1117647.11 251.56
-486960.41 -1117243.82 237.95
-486999.06 -1117541.18 248.39
-486996.35 -1117520.48 247.85
-486991.05 -1117479.77 247.86
-487015.68 -1117669.41 251.98
-486996.46 -1117521.65 247.89
-487020.46 -1117706.23 253.13
-486993.52 -1117499.10 247.98
-487051.60 -1117946.17 255.31
-486991.13 -1117480.95 247.89
-487049.26 -1117928.14 255.31
-487005.93 -1117594.87 250.32
-487027.84 -1117763.60 254.12
-486996.53 -1117522.80 247.85
-487008.08 -1117611.67 250.78
-486961.27 -1117251.80 240.05
-486996.62 -1117523.97 247.78
-486996.88 -1117526.24 247.51
-487001.06 -1117558.38 249.60
-486996.73 -1117525.08 247.65
-487019.80 -1117702.65 253.01
-486967.90 -1117303.47 240.84
-486961.35 -1117253.05 240.20
-486968.57 -1117308.64 240.87
-486999.10 -1117543.54 249.02
-486993.76 -1117502.57 248.01
-486996.98 -1117527.35 247.46
-486995.70 -1117517.54 247.61
-487054.52 -1117970.16 255.03
-486999.01 -1117543.12 248.89
-487013.31 -1117653.41 251.63
-487031.76 -1117795.45 254.63
-487011.07 -1117636.35 251.36
-486984.94 -1117435.33 245.32
-487023.22 -1117729.85 253.48
-486997.04 -1117528.54 247.49
-487041.23 -1117868.56 255.28
-487023.85 -1117734.95 253.69
-486975.39 -1117362.14 242.87
-486999.12 -1117544.71 249.20
-487057.85 -1117997.04 254.48
-487017.78 -1117688.76 252.39
-486994.03 -1117506.04 247.91
-486991.64 -1117487.90 247.91
-487020.91 -1117713.14 253.29
-486994.43 -1117509.42 247.31
-486965.47 -1117286.67 240.94
-487025.22 -1117746.53 253.81
-486994.11 -1117507.19 247.81
-487011.19 -1117638.63 251.48
-486982.60 -1117418.81 244.75
-487001.48 -1117564.10 249.59
-487011.50 -1117641.23 251.54
-487033.38 -1117809.67 254.80
-486999.24 -1117547.03 249.46
-486997.14 -1117530.87 247.66
-486963.57 -1117272.65 240.99
-486960.26 -1117247.34 238.46
-486959.98 -1117245.21 237.95
-486965.21 -1117285.44 240.96
-487006.47 -1117602.89 250.44
-487023.40 -1117733.26 253.62
-487040.51 -1117864.90 255.22
-487054.97 -1117976.21 254.96
-487021.07 -1117715.43 253.33
-486963.66 -1117273.82 240.97
-487056.84 -1117990.74 254.60
-486962.85 -1117267.79 241.00
-486997.30 -1117533.19 247.84
-487019.06 -1117700.67 252.88
-486988.94 -1117469.16 246.61
-487052.50 -1117958.20 255.18
-487006.61 -1117605.19 250.57
-486994.46 -1117511.79 247.73
-486999.48 -1117550.47 249.48
-487016.43 -1117680.85 252.28
-486992.08 -1117493.67 247.79
-486962.55 -1117266.55 240.94
-486997.35 -1117534.33 247.99
-487054.53 -1117974.29 255.01
-487023.64 -1117736.73 253.65
-486994.54 -1117512.98 247.75
-487022.83 -1117730.66 253.47
-486989.81 -1117476.68 247.64
-487049.62 -1117936.90 255.19
-486964.02 -1117278.69 240.91
-486964.40 -1117281.61 240.98
-486994.62 -1117514.12 247.83
-487041.91 -1117878.00 255.28
-487054.25 -1117973.04 255.01
-486961.95 -1117262.98 240.65
-486997.36 -1117535.53 248.12
-487012.30 -1117650.60 251.57
-487016.69 -1117684.31 252.27
-487019.25 -1117704.08 253.04
-487006.84 -1117608.66 250.65
-486997.66 -1117538.06 247.84
-486989.96 -1117479.00 247.74
-486997.40 -1117536.46 248.09
-486994.78 -1117516.42 247.76
-486997.82 -1117540.08 247.74
-486995.02 -1117518.70 247.66
-486960.16 -1117250.77 239.47
-487009.69 -1117631.80 251.30
-486997.87 -1117541.25 247.90
-486963.59 -1117277.88 240.90
-487004.48 -1117592.62 250.24
-487021.63 -1117724.60 253.65
-486988.04 -1117466.27 246.30
-487019.54 -1117708.67 253.19
-487031.36 -1117799.61 254.59
-487005.51 -1117600.94 250.32
-487021.73 -1117725.77 253.65
-486975.67 -1117371.40 243.15
-486961.41 -1117261.71 240.54
-487019.12 -1117705.73 253.02
-487009.94 -1117635.24 251.29
-486972.35 -1117346.07 241.76
-486959.80 -1117249.70 239.04
-486990.36 -1117484.80 247.82
-486987.45 -1117462.53 246.22
-487012.27 -1117653.55 251.55
-486995.18 -1117522.22 247.86
-487010.02 -1117636.40 251.32
-487000.20 -1117560.85 249.59
-486978.96 -1117397.67 243.84
-486967.07 -1117306.34 240.84
-486995.28 -1117523.36 247.89
-486964.70 -1117288.42 240.93
-486995.36 -1117524.52 247.87
-486992.86 -1117505.27 248.01
-487004.79 -1117597.22 250.29
-487010.96 -1117644.68 251.47
-487000.36 -1117563.15 249.55
-487010.14 -1117638.70 251.45
-486990.59 -1117488.29 247.89
-486995.44 -1117525.67 247.80
-487024.51 -1117749.39 253.80
-486993.02 -1117507.57 247.95
-487004.97 -1117599.51 250.28
-486995.81 -1117529.08 247.48
-486993.31 -1117509.82 247.49
-486993.45 -1117510.96 247.28
-487014.77 -1117675.20 252.12
-486993.10 -1117508.73 247.84
-486990.74 -1117490.63 247.93
-487050.78 -1117952.57 255.18
-486995.88 -1117530.23 247.46
-486960.32 -1117256.76 240.33
-486988.27 -1117471.98 246.84
-486993.47 -1117512.15 247.42
-487014.94 -1117677.49 252.11
-486988.38 -1117473.31 247.15
-486974.60 -1117367.33 242.97
-486976.31 -1117380.62 243.27
-487002.85 -1117584.83 249.99
-487012.00 -1117655.26 251.51
-486991.03 -1117494.07 247.82
-487053.82 -1117977.11 254.85
-487036.25 -1117841.96 254.95
-486997.92 -1117547.13 249.35
-487000.87 -1117570.04 249.56
-486987.95 -1117470.71 246.68
-487007.09 -1117618.06 250.83
-487024.91 -1117755.15 253.89
-486993.47 -1117513.34 247.66
-486997.23 -1117542.41 247.90
-486997.98 -1117548.25 249.46
-487000.93 -1117571.18 249.58
-487022.66 -1117738.41 253.57
-487002.99 -1117587.11 250.05
-486989.39 -1117482.48 247.82
-486993.54 -1117514.49 247.77
-486991.19 -1117496.36 247.79
-486996.15 -1117534.88 247.77
-486958.87 -1117248.19 238.12
-487033.92 -1117825.66 254.78
-486993.63 -1117515.67 247.82
-486986.34 -1117459.82 246.18
-486996.90 -1117541.12 247.73
-487003.15 -1117589.42 250.07
-486962.84 -1117279.36 240.97
-486991.35 -1117498.69 247.84
